datetime,date,open,high,low,close,quantity,turnover
2024-11-08,2024-11-08,1.7578,1.7667,1.6905,1.7525,320361,560633.7605
2024-11-07,2024-11-07,1.6358,1.7242,1.634,1.7235,90549,150349.9924
2024-11-06,2024-11-06,1.5432,1.6,1.5432,1.5917,65690.0,102732.365
2024-11-05,2024-11-05,1.3394,1.404,1.3394,1.404,1714,2314.1166
2024-11-04,2024-11-04,1.3605,1.3739,1.33,1.3489,51885,70634.9664
2024-11-01,2024-11-01,1.3395,1.3981,1.3384,1.3887,44922,62054.7141
2024-10-31,2024-10-31,1.4196,1.4481,1.3287,1.3325,83904,115652.1464
2024-10-30,2024-10-30,1.5881,1.5881,1.5421,1.5421,29900.0,46909.0814
2024-10-29,2024-10-29,1.5015,1.5318,1.4899,1.5318,8214,12327.5719
2024-10-28,2024-10-28,1.5397,1.5462,1.5075,1.5089,41199,62382.7877
2024-10-25,2024-10-25,1.459,1.5641,1.459,1.5442,17565,26934.7163
2024-10-24,2024-10-24,1.4445,1.4704,1.4324,1.4422,47661,68442.6064
2024-10-23,2024-10-23,1.5089,1.5089,1.4412,1.4412,7768,11504.9976
2024-10-22,2024-10-22,1.4831,1.5058,1.4515,1.4935,9969,14691.2111
2024-10-21,2024-10-21,1.4779,1.49,1.4509,1.4557,43580.0,64169.615
2024-10-18,2024-10-18,1.4779,1.501,1.4779,1.4972,41033,61289.3949
2024-10-17,2024-10-17,1.4774,1.52,1.4662,1.4878,339333,504844.0085
2024-10-16,2024-10-16,1.4465,1.4539,1.3817,1.423,27537,39322.5177
2024-10-15,2024-10-15,1.5345,1.54,1.4483,1.4737,28462,42771.5547
2024-10-14,2024-10-14,1.4704,1.55,1.4668,1.5183,41973,63681.7998
2024-10-11,2024-10-11,1.4653,1.4685,1.4285,1.4685,10986,16023.2519
2024-10-10,2024-10-10,1.4726,1.4769,1.437,1.4759,175593,255387.5644
2024-10-09,2024-10-09,1.3896,1.4595,1.3896,1.4595,6683,9582.5581
2024-10-08,2024-10-08,1.3055,1.4008,1.3055,1.3928,6312,8472.7208
2024-10-07,2024-10-07,1.3864,1.3888,1.3524,1.375,9231,12525.9728
2024-10-04,2024-10-04,1.3152,1.3712,1.3064,1.3419,213256,288574.2141
2024-10-03,2024-10-03,1.3037,1.3292,1.2838,1.3259,63100.0,83060.816
2024-10-02,2024-10-02,1.2932,1.333,1.279,1.333,26011,33614.484
2024-10-01,2024-10-01,1.3958,1.4178,1.255,1.2855,79165,106820.2095
2024-09-30,2024-09-30,1.3654,1.3695,1.34,1.3695,56801,76730.1662
2024-09-27,2024-09-27,1.4045,1.4494,1.3898,1.3898,12485,17639.8236
2024-09-26,2024-09-26,1.461,1.49,1.383,1.383,53174,78384.548
2024-09-25,2024-09-25,1.3283,1.38,1.3283,1.3798,22260.0,30680.6925
2024-09-24,2024-09-24,1.3536,1.3536,1.3048,1.3483,29690.0,39526.924
2024-09-23,2024-09-23,1.3226,1.3436,1.3226,1.3436,5600.0,7487.79
2024-09-20,2024-09-20,1.3199,1.3257,1.2815,1.298,35151,46085.4749
2024-09-19,2024-09-19,1.2877,1.3576,1.2877,1.3523,79536,104626.1065
2024-09-18,2024-09-18,1.2293,1.2293,1.1941,1.2032,11378,13661.4086
2024-09-17,2024-09-17,1.2191,1.265,1.2191,1.2408,37398,46282.7961
2024-09-16,2024-09-16,1.2317,1.235,1.1733,1.1949,301131,358813.51
2024-09-13,2024-09-13,1.2255,1.2478,1.2048,1.2478,85903,104727.0417
2024-09-12,2024-09-12,1.1891,1.21,1.1795,1.1817,43859,52383.4477
2024-09-11,2024-09-11,1.039,1.0469,1.0149,1.0149,61220.0,64015.518
2024-09-10,2024-09-10,0.9915,1.0336,0.9915,1.0336,34027,34880.675
2024-09-09,2024-09-09,0.9817,1.0193,0.9817,0.9866,304550.0,301553.9128
2024-09-06,2024-09-06,1.0517,1.0638,0.9656,0.9666,70873,73107.3134
2024-09-05,2024-09-05,1.0817,1.111,1.0705,1.0705,11922,13183.0354
2024-09-04,2024-09-04,1.0735,1.1333,1.065,1.1089,71362,78722.5529
2024-09-03,2024-09-03,1.307,1.3125,1.1741,1.1825,349865,451285.8869
2024-09-02,2024-09-02,1.2719,1.32,1.2719,1.3163,15802,20748.6992
2024-08-30,2024-08-30,1.2684,1.31,1.2633,1.2633,52940.0,68015.6382
2024-08-29,2024-08-29,1.2251,1.3249,1.2251,1.3183,51114,64401.4263
2024-08-28,2024-08-28,1.3155,1.3197,1.2341,1.2341,3803,4979.9989
2024-08-27,2024-08-27,1.3037,1.3215,1.2623,1.2997,29070.0,36954.5365
2024-08-26,2024-08-26,1.3614,1.3661,1.2986,1.2998,500,649.3
2024-08-23,2024-08-23,1.339,1.3909,1.3384,1.3572,86033,117136.9054
2024-08-22,2024-08-22,1.421,1.454,1.3783,1.3783,49897,70804.2904
2024-08-21,2024-08-21,1.3828,1.4384,1.3828,1.396,194392,272446.4758
2024-08-20,2024-08-20,1.4143,1.4321,1.3869,1.3869,48357,68038.5173
2024-08-19,2024-08-19,1.3167,1.3442,1.3129,1.3412,248347,328734.6974
2024-08-16,2024-08-16,1.3517,1.3518,1.2987,1.3121,56219,75013.1756
2024-08-15,2024-08-15,1.1941,1.3048,1.1826,1.3048,65796,79682.3031
2024-08-14,2024-08-14,1.1776,1.19,1.1289,1.1824,82127,96332.0279
2024-08-13,2024-08-13,1.0851,1.145,1.0626,1.145,129647,144707.878
2024-08-12,2024-08-12,1.055,1.0861,1.03,1.0453,58023,61803.1714
2024-08-09,2024-08-09,1.0237,1.0561,0.9897,1.0213,22193,22790.145
2024-08-08,2024-08-08,0.8941,1.0028,0.8711,0.9953,274164,267589.6211
2024-08-07,2024-08-07,0.9685,1.0321,0.9614,1.0166,87640.0,87522.6629
2024-08-06,2024-08-06,0.9383,0.95,0.9183,0.92,24233,22344.8185
2024-08-05,2024-08-05,0.833,0.833,0.7263,0.7263,44172,35777.6135
2024-08-02,2024-08-02,1.1137,1.1264,1.0177,1.0503,115082,125363.7301
2024-08-01,2024-08-01,1.4361,1.4361,1.2862,1.2862,44739,62383.5876
2024-07-31,2024-07-31,1.2781,1.3721,1.2781,1.3721,91044,117190.0054
2024-07-30,2024-07-30,1.2903,1.3055,1.2177,1.2177,8368,10895.5267
2024-07-29,2024-07-29,1.3176,1.3176,1.2647,1.2647,8745,11432.9112
2024-07-26,2024-07-26,1.2613,1.2873,1.2389,1.253,17958,22800.8855
2024-07-25,2024-07-25,1.2951,1.2995,1.1827,1.2902,92790.0,117801.3689
2024-07-24,2024-07-24,1.4889,1.4987,1.3602,1.3624,80892,116737.4947
2024-07-23,2024-07-23,1.5685,1.6247,1.5593,1.6247,11557,18283.9717
2024-07-22,2024-07-22,1.5173,1.601,1.5173,1.5292,114004,174443.0342
2024-07-19,2024-07-19,1.5511,1.5695,1.4989,1.4989,127158,195576.2568
2024-07-18,2024-07-18,1.6508,1.6954,1.5345,1.5345,24409,39653.7352
2024-07-17,2024-07-17,1.7987,1.8014,1.6345,1.6459,48437,84160.7722
2024-07-16,2024-07-16,1.8724,1.889,1.8448,1.8459,3050.0,5649.05
2024-07-15,2024-07-15,1.8877,1.9558,1.8779,1.9297,77268,146280.5463
2024-07-12,2024-07-12,1.8035,1.8932,1.79,1.8915,30282,54976.5285
2024-07-11,2024-07-11,2.0296,2.0824,1.8421,1.8421,15786,32040.0974
2024-07-10,2024-07-10,1.9465,1.98,1.9465,1.9723,6465,12685.1792
2024-07-09,2024-07-09,1.9518,1.9789,1.9463,1.9463,40288,79268.0451
2024-07-08,2024-07-08,1.8876,1.9247,1.8876,1.9247,23994,45470.1867
2024-07-05,2024-07-05,1.8352,1.8872,1.8222,1.8872,11075,20306.6178
2024-07-04,2024-07-04,1.8207,1.8207,1.7975,1.8124,3082,5573.8114
2024-07-03,2024-07-03,1.76,1.7937,1.7592,1.789,20870.0,37008.3921
2024-07-02,2024-07-02,1.6445,1.7125,1.6365,1.7125,16896,27756.7136
2024-07-01,2024-07-01,1.6566,1.6566,1.622,1.637,62624,101870.3512
2024-06-28,2024-06-28,1.7082,1.7478,1.7044,1.7084,6717,11554.2662
2024-06-27,2024-06-27,1.6475,1.66,1.6358,1.6383,32426,53207.6802
2024-06-26,2024-06-26,1.661,1.6853,1.6454,1.6454,66853,112333.4262
2024-06-25,2024-06-25,1.5615,1.6319,1.5615,1.6319,9598,15152.5734
2024-06-24,2024-06-24,1.6602,1.67,1.62,1.6204,30900.0,51268.6398
2024-06-21,2024-06-21,1.76,1.76,1.6572,1.6685,4017,7038.8744
2024-06-20,2024-06-20,1.7982,1.8133,1.7493,1.7493,119146,212673.8159
2024-06-19,2024-06-19,1.7613,1.771,1.7536,1.7623,1499,2652.0314
2024-06-18,2024-06-18,1.748,1.7588,1.7286,1.7286,8125,14197.5708
2024-06-17,2024-06-17,1.6612,1.6736,1.6494,1.6736,347053,575294.8282
2024-06-14,2024-06-14,1.6291,1.6388,1.5881,1.6271,55596,89816.5351
2024-06-13,2024-06-13,1.616,1.631,1.5992,1.606,105866,171229.2986
2024-06-12,2024-06-12,1.4741,1.5628,1.4741,1.5628,38528,59162.225
2024-06-11,2024-06-11,1.4121,1.4241,1.3958,1.4241,29770.0,41839.112
2024-06-10,2024-06-10,1.3851,1.4152,1.3735,1.4152,65915,92836.4322
2024-06-07,2024-06-07,1.3989,1.4019,1.3663,1.4019,31070.0,42450.941
2024-06-06,2024-06-06,1.3954,1.4021,1.3793,1.3854,30603,42326.7228
2024-06-05,2024-06-05,1.2634,1.3581,1.2634,1.3581,145897,194484.6906
2024-06-04,2024-06-04,1.2247,1.2247,1.2114,1.2241,53681,65203.0184
2024-06-03,2024-06-03,1.2494,1.28,1.239,1.239,225913,282952.1
2024-05-31,2024-05-31,1.2156,1.2482,1.1544,1.1544,96436,117233.5202
2024-05-30,2024-05-30,1.3112,1.3112,1.2654,1.2654,327061,418827.2558
2024-05-29,2024-05-29,1.3286,1.3286,1.3055,1.3199,51580.0,67766.124
2024-05-28,2024-05-28,1.3367,1.36,1.3356,1.3423,41956,56935.8788
2024-05-27,2024-05-27,1.3361,1.3538,1.3268,1.3538,27130.0,36278.6823
2024-05-24,2024-05-24,1.2788,1.3414,1.2788,1.3414,48003,62096.7019
2024-05-23,2024-05-23,1.359,1.3816,1.3306,1.3473,19055,25663.1378
2024-05-22,2024-05-22,1.3042,1.3173,1.3,1.3173,1245,1621.1415
2024-05-21,2024-05-21,1.2847,1.2897,1.26,1.2853,41200.0,51917.38
2024-05-20,2024-05-20,1.2541,1.2907,1.2541,1.2907,33298,42519.575
2024-05-17,2024-05-17,1.2591,1.2674,1.2518,1.2518,495,621.991
2024-05-16,2024-05-16,1.2764,1.2867,1.2715,1.2867,33067,42141.6691
2024-05-15,2024-05-15,1.1811,1.2363,1.18,1.2363,21954,26088.6375
2024-05-14,2024-05-14,1.148,1.1584,1.148,1.1584,868,998.8076
2024-05-13,2024-05-13,1.1509,1.157,1.1464,1.1464,41000.0,47437
2024-05-10,2024-05-10,1.1452,1.1549,1.1206,1.132,21113,23881.8389
2024-05-09,2024-05-09,1.1173,1.1328,1.0984,1.1328,8,8.8957
2024-05-08,2024-05-08,1.1265,1.1265,1.1158,1.1203,0,0
2024-05-07,2024-05-07,1.1189,1.1353,1.113,1.1353,17215,19446.1
2024-05-06,2024-05-06,1.0693,1.0947,1.0693,1.0947,25452,27446.9136
2024-05-03,2024-05-03,0.9959,1.0571,0.9959,1.0571,0,0
2024-05-02,2024-05-02,0.9439,0.9647,0.9365,0.9402,7011,6598.9572
2024-04-30,2024-04-30,1.0526,1.0526,1.014,1.014,7865,8242.52
2024-04-29,2024-04-29,1.0473,1.05,1.0334,1.0358,7501,7876.0334
2024-04-26,2024-04-26,1.0094,1.0409,1,1.0343,143167,144359.4514
2024-04-25,2024-04-25,0.9302,0.9383,0.9076,0.9076,20280.0,18795.2244
2024-04-24,2024-04-24,1.0042,1.0042,0.9864,0.9864,0,0
2024-04-23,2024-04-23,0.9063,0.967,0.9063,0.967,7100.0,6522.914
2024-04-22,2024-04-22,0.8913,0.8916,0.8734,0.8734,44049,39084.8584
2024-04-19,2024-04-19,0.9473,0.9473,0.9006,0.9006,25296,23527.201
2024-04-18,2024-04-18,1.0252,1.0252,0.99,1.0081,19420.0,19643.1006
2024-04-17,2024-04-17,1.0537,1.086,1.0206,1.0206,550,595.875
2024-04-16,2024-04-16,1.0617,1.0701,1.0557,1.0701,14706,15635.8164
2024-04-15,2024-04-15,1.1893,1.2067,1.1574,1.1683,137817,162703.966
2024-04-12,2024-04-12,1.2592,1.2592,1.1925,1.1925,41948,51445.3254
2024-04-11,2024-04-11,1.1678,1.1849,1.1498,1.1849,28797,33896.4542
2024-04-10,2024-04-10,1.2063,1.2063,1.1393,1.147,13300.0,15218.81
2024-04-09,2024-04-09,1.185,1.1987,1.1428,1.1568,14588,17015.4096
2024-04-08,2024-04-08,1.1767,1.1877,1.1767,1.1794,54,63.8928
2024-04-05,2024-04-05,1.1308,1.1875,1.12,1.1875,62353,70827.1697
2024-04-04,2024-04-04,1.2274,1.2618,1.2274,1.2521,28831,36198.7298
2024-04-03,2024-04-03,1.1905,1.2338,1.1856,1.2338,2770.0,3299.392
2024-04-02,2024-04-02,1.2607,1.268,1.173,1.1863,31930.0,37645.415
2024-03-28,2024-03-28,1.2105,1.2591,1.2105,1.2511,700,881.3
